codigo;nome
52010015;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA GOIANO (IFGoiano)
21003025;INSTITUTO FEDERAL DO PIAUI - CAMPUS FLORIANO - POLO PROFMAT (IFPI-FLORIANO)
31007015;INSTITUTO MILITAR DE ENGENHARIA (IME)
31068014;INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL (INPI)
31061010;INSTITUTO NACIONAL DE CÂNCER JOSÉ ALENCAR GOMES DA SILVA (INCA)
31073018;INSTITUTO NACIONAL DE CARDIOLOGIA (INC)
31047017;INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS (INES)
31069010;INSTITUTO NACIONAL DE METROLOGIA NORMALIZAÇÃO E QUALIDADE INDUSTRIAL (INMETRO)
12002011;INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA (INPA)
33010013;INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS (INPE)
32057016;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES (INATEL)
31099017;INSTITUTO NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA (INTO)
53016017;INSTITUTO RIO BRANCO (IRBr)
33160015;INSTITUTO SÍRIO-LIBANÊS DE ENSINO E PESQUISA (IEP)
40077012;INSTITUTO SUPERIOR DE ADMINISTRAÇÃO E ECONOMIA DO MERCOSUL (ISAE)
33011010;INSTITUTO TECNOLÓGICO DE AERONÁUTICA (ITA)
31012019;INSTITUTO UNIVERSITÁRIO DE PESQUISA DO RIO DE JANEIRO (IUPERJ)
11009004;LABORATORIO CENTRAL DE SAÚDE PUBLICA DE RONDONIA (LACEN/RO)
31036015;LABORATÓRIO NACIONAL DE COMPUTAÇÃO CIÊNTÍFICA (LNCC)
31055010;MUSEU DE ASTRONOMIA E CIÊNCIAS AFINS (MAST)
15027007;MUSEU PARAENSE EMÍLIO GOELDI (MPEG)
